Wall time,Step,Value
1615731526.5658376,1928,0.8167365789413452
1615731526.7870717,1940,1.0278406143188477
1615731526.8050609,1941,0.8930314779281616
1615731526.8590896,1944,0.7843986749649048
1615731526.8772278,1945,0.8186954855918884
1615731526.9154208,1947,0.881054162979126
1615731526.9520984,1949,0.9271008372306824
1615731527.0242116,1953,0.8930404186248779
1615731527.0990489,1957,0.8788608908653259
1615731527.1888568,1962,0.929267406463623
1615731527.2260938,1964,1.1586521863937378
1615731527.4993997,1979,0.7254638075828552
1615731536.7283611,2013,1.1002247333526611
1615731536.8131492,2017,1.0808838605880737
1615731536.8489473,2019,0.9860802888870239
1615731536.9402566,2024,0.7870687246322632
1615731537.1048522,2033,0.712939441204071
1615731537.249998,2041,0.8233895897865295
1615731537.344974,2045,0.9220829010009766
1615731537.5318003,2055,0.9893121719360352
1615731537.567897,2057,0.9907417297363281
1615731537.6038165,2059,0.8616955876350403
1615731537.6218457,2060,0.9586719870567322
1615731537.6961083,2064,1.027965784072876
1615731537.753349,2067,1.2004997730255127
1615731537.8981862,2075,0.7924442887306213
1615731537.9715848,2079,0.9056171774864197
1615731538.2279856,2093,1.0988627672195435
1615731538.3375692,2099,0.8366669416427612
1615731547.0908277,2104,0.8566179275512695
1615731547.1098206,2105,0.8807433247566223
1615731547.1470602,2107,0.8552519679069519
1615731547.202253,2110,0.8926286697387695
1615731547.24576,2112,0.7511630058288574
1615731547.283605,2114,1.1490871906280518
1615731547.3015742,2115,1.1610047817230225
1615731547.4271214,2122,0.8855571150779724
1615731547.4804194,2125,1.0976758003234863
1615731547.572587,2130,0.8316085934638977
1615731547.919823,2149,0.9322811961174011
1615731548.114227,2159,1.2843661308288574
1615731548.2286944,2165,0.9423747062683105
1615731557.0338097,2105,0.8568291068077087
1615731557.1183279,2109,0.9130554795265198
1615731557.1373541,2110,0.8279830813407898
1615731557.340458,2121,0.9771869778633118
1615731557.3591654,2122,0.8028030395507812
1615731557.6325908,2137,1.005422592163086
1615731557.8148506,2147,0.8421159982681274
1615731557.9786267,2156,0.8546823263168335
1615731558.2874668,2173,0.8236126899719238
1615731558.6144612,2191,0.89504474401474
1615731558.6324515,2192,0.8157161474227905
1615731558.6694236,2194,0.9377769231796265
1615731567.4130998,2204,0.9323371648788452
1615731567.4864173,2208,0.8474006056785583
1615731567.8404617,2227,0.8763987421989441
1615731568.038213,2238,1.0615571737289429
1615731568.186231,2246,0.9487138390541077
1615731568.3037593,2252,0.7863884568214417
1615731568.321738,2253,0.5718016028404236
1615731568.3577096,2255,0.7708749771118164
1615731568.3943725,2257,0.7263667583465576
1615731568.4846485,2262,0.6354590058326721
1615731568.9411001,2287,0.7932433485984802
1615731568.9591703,2288,0.8348842859268188
1615731569.1416056,2298,1.0189772844314575
1615731569.1781545,2300,0.8771744966506958
1615731577.831656,2305,0.665282666683197
1615731578.0936267,2319,0.9175123572349548
1615731578.2020557,2325,0.7170563340187073
1615731578.328223,2332,0.7632743716239929
1615731578.3642447,2334,0.820602536201477
1615731578.3994215,2336,0.8317692279815674
